序号,日期,游戏ID,游戏名称,包月产品名称,包月金额,渠道ID,渠道名称,首订用户数,续订用户数,退订用户数,出账用户数,出账金额
182,20200417,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,0,0,1,10.0
183,20200417,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,3,0,0,0.0
184,20200417,,,星星豪华大礼包,10,,,1,0,1,1,10.0
185,20200417,93578,消灭星星全新版,星星豪华大礼包,10,80001021,小米,0,1,0,0,0.0
186,20200417,93578,消灭星星全新版,星星豪华大礼包,10,80020320,魅族手机,0,2,0,0,0.0
187,20200418,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,1,0,2,20.0
188,20200418,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,0,0,1,10.0
189,20200418,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,1,0,1,10.0
190,20200418,,,星星豪华大礼包,10,,,0,0,0,0,0.0
191,20200418,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,0,0,0.0
192,20200419,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,0,0,0.0
193,20200419,,,星星豪华大礼包,10,,,0,0,0,0,0.0
194,20200419,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,1,0,1,10.0
195,20200419,93578,消灭星星全新版,星星豪华大礼包,10,80011049,腾讯应用宝,0,0,0,1,10.0
196,20200419,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,2,0,1,10.0
197,20200419,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,1,2,5,50.0
198,20200420,93578,消灭星星全新版,星星豪华大礼包,10,80011046,360手机助手,0,0,0,1,10.0
199,20200420,93578,消灭星星全新版,星星豪华大礼包,10,83010011,腾讯应用宝,0,0,0,1,10.0
200,20200420,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,5,0,3,30.0
201,20200420,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,1,1,1,10.0
202,20200420,93578,消灭星星全新版,星星豪华大礼包,10,80011049,腾讯应用宝,0,1,0,1,10.0
203,20200420,,,星星豪华大礼包,10,,,1,0,0,1,10.0
204,20200420,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,1,1,0,0.0
205,20200420,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,0,0,0.0
206,20200421,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,0,0,5,50.0
207,20200421,,,星星豪华大礼包,10,,,0,1,0,0,0.0
208,20200421,93578,消灭星星全新版,星星豪华大礼包,10,80011042,三星,0,0,0,1,10.0
209,20200421,93578,消灭星星全新版,星星豪华大礼包,10,80010130,掌游天下,0,0,0,1,10.0
210,20200421,93578,消灭星星全新版,星星豪华大礼包,10,80010088,4399,0,0,0,1,10.0
211,20200421,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,1,0,0.0
212,20200421,93578,消灭星星全新版,星星豪华大礼包,10,80011046,360手机助手,0,1,0,0,0.0
213,20200421,93578,消灭星星全新版,星星豪华大礼包,10,83010011,腾讯应用宝,0,1,0,1,10.0
214,20200421,93578,消灭星星全新版,星星豪华大礼包,10,80011049,腾讯应用宝,0,1,0,0,0.0
215,20200421,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,1,0,0,0.0
216,20200421,93578,消灭星星全新版,星星豪华大礼包,10,80001021,小米,0,0,0,1,10.0
217,20200421,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,3,1,2,20.0
218,20200422,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,4,0,0,0.0
219,20200422,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,0,1,0,0.0
220,20200422,93578,消灭星星全新版,星星豪华大礼包,10,80001021,小米,0,1,0,0,0.0
221,20200422,93578,消灭星星全新版,星星豪华大礼包,10,80010088,4399,0,1,0,0,0.0
222,20200422,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,2,0,1,10.0
223,20200422,,,星星豪华大礼包,10,,,0,0,0,0,0.0
224,20200422,93578,消灭星星全新版,星星豪华大礼包,10,80011042,三星,0,1,0,1,10.0
225,20200422,93578,消灭星星全新版,星星豪华大礼包,10,80010130,掌游天下,0,1,0,0,0.0
226,20200422,93578,消灭星星全新版,星星豪华大礼包,10,83010011,腾讯应用宝,0,1,0,0,0.0
227,20200422,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,1,0,0.0
228,20200423,,,星星豪华大礼包,10,,,0,0,0,0,0.0
229,20200423,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,1,0,0.0
